Filename,Artist,Country/Entity,Keywords
1tt.tif,Mbange Ernest Bawe,Cameroon,animal|corn|mouse|eating|binatang|jagung|makan|tikus
,,,
1R-M.tif,,Cameroon,crocodile|reptile|alligator|buaya|reptil
,,,
1UU.tif,Mbange Ernest Bawe,Cameroon,animal|bat|wing|binatang|keluang|kelelawar|marsegu|sayap
,,,
1X.tif,Susan Rose,Cameroon,animal|mouse|binatang|tikus
,,,
2F-H.tif,Jean-Marie Boayaga,Cameroon,corn|food|vegetable|jagung|makanan|sayur-sayuran
,,,
2F-C.tif,Mbange Ernest Bawe,Cameroon,beans|bowl|food|table|buncis|mangkuk|makanan|meja
,,,
2fp-b.tif,Mbange Ernest Bawe,Cameroon,bowl|food|food preparation|fruit|mango|people|vegetable|woman|mangkuk|makanan|menyiapkan makanan|buah|mangga|orang|orang-orang|sayur-sayuran|wanita
,,,
2F-T.tif,,Cameroon,chart|food|food chart|fruit|health|meat|nutrition|makanan|buah|kesehatan|daging|nutrisi
,,,
2FP-G.tif,,Cameroon,fire|food preparation|pot|rock|steam|api|menyiapkan makanan|panci|batu|uap air
,,,
2F-O.tif,,Cameroon,food|peanut|nut|makanan|biji-bijian|kacang tanah
,,,
3H.tif,,Cameroon,bag|musical instrument|tas|alat musik
,,,
3A.tif,,Cameroon,drum|musical instrument|tifa|gendang|alat musik
,,,
3C.tif,,Cameroon,drum|musical instrument|tifa|gendang|alat musik
,,,
5F-G.tif,,Cameroon,boy|food|fruit|nut|people|work|anak laki-laki|makanan|buah|biji-bijian|orang|orang-orang|kerja
,,,
2FP-N.tif,,Cameroon,bowl|fire|food preparation|people|pot|rock|steam|stir|woman|mangkuk|api|menyiapkan makanan|orang|orang-orang|panci|batu|uap air|aduk|mengaduk|wanita
,,,
4j.tif,Mbange Ernest Bawe,Cameroon,palm|tree|kelapa|pohon
,,,
4Q.tif,,Cameroon,river|road|tree|sungai|kali|aer|jalan raya|pohon
,,,
5O-AD.tif,,Cameroon,boy|man|palm|people|tree|work|anak laki-laki|manusia|kelapa|orang|orang-orang|pohon|kerja
,,,
5F-L.tif,,Cameroon,hare|hunting|man|people|rabbit|spear|weapon|hunter|animal|chase|binatang|kejar|kelinci|buru (pemburu)|buru (memburu)|manusia|orang|orang-orang|tombak|lembing|senjata |usir
,,,
5F-N.tif,Mbange Ernest Bawe,Cameroon,field|group|lamp|lantern|night|people|woman|work|agriculture|hunting|gathering|light|pertanian|ladang|kebun|kelompok|buru (memburu)|lampu|lentera|malam|orang|orang-orang|wanita|kerja
,,,
5F-S.tif,Mbange Ernest Bawe,Cameroon,basket|group|man|people|rain|walking stick|weather|carry|walking|keranjang|bawa|kelompok|manusia|orang|orang-orang|hujan|berjalan|tongkat|cuaca
,,,
5O-D.tif,,Cameroon,man|people|pot|shelter|work|manusia|orang|orang-orang|panci|lindungan|naungan|pondok|walang|kerja
,,,
5O-B.tif,,Cameroon,group|people|road|travel|truck|vehicle|transportation|kelompok|orang|orang-orang|jalan raya|transportasi|pengangkutan|perjalanan|truk|kendaraan
,,,
5O-I.tif,,Cameroon,construction|man|people|pick|shovel|tool|work|spade|bangun (rumah)|manusia|orang|orang-orang|beliung|sekop|alat|perkakas|kerja
,,,
5T-M.tif,,Cameroon,broom|bundle|sapu|ikat
,,,
6B-D.tif,,Cameroon,anatomy|eye|eyelashes|bagian-bagian tubuh|mata|bulu mata
,,,
5T-H2.tif,,Cameroon,ax|tool|kapak|mancadu|alat|perkakas
,,,
